ID,Title,Category,Link,Preview Icon,Pages,PDF Link,Description,Keywords,Accession Number,Publisher,ISBN,Condition,Author,Language,Year,Script,Custodian,Digitization Sponsor
1977,Aajkaar Fanah,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=1977&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000392_200.jpg,14,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0001977.pdf,,"Aajkaar Fanah,  Persian Script,  Persian Literature",BK-000392,,,Good,,Urdu,,Persian,Punjab Languages Department,
2146,Nava Jahan,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2146&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000438_200.jpg,137,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002146.pdf,,"Nava Jahan,  New World,  Dhani Ram Chatrik,  Punjabi Poetry,  Punjabi Literature",BK-000438,Lahore Book Shop,,Good,,Panjabi,1945,Gurmukhi,Punjab Languages Department,
2346,Consititutional Problem in India Part 3,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2346&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000707_200.jpg,99,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002346.pdf,"Although India got its independence in 1947, the seeds of movement for India's independence were sown as early as 1857. Since then, independence movement kept gaining speed dispute all the impediments. This report by Oxford University scholar analyses in great detail the history of India's freedom movement and the major developments in the first four decades of twentieth century. The report takes stock of the communal situation, the ability of to Indians to govern themselves, the distrust between the Hindus and the Muslims, several political reforms and pacts. Finally, it predicts and hopes that Indians like the people of Great Britain and America would rise to the occasion and be able to unite themselves and its leaders will show qualities of statesmanship to take over the governance of their country. The report is quite analytical, exhaustive, and based on international political and historical precedents","Acts of 1862,  1892,  1909,  Hindus,  Muslims,  Mr. Gandhi,  Simon Commission,  British parliamentary government,  communal Award,  Separate Electorates,  Lucknow pact,  Two-Nations principle,  Mr. Rajagopalachari,  Cripps Mission,  North West Frontier,  Calcutta,  Captain Sikander Hyat Khan",BK-000707,,,Good,,English,,Roman,"Kirpal Singh, Dr.",
2347,Punjab Legislative Council Debates July 1922 to May 1923,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2347&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000706_200.jpg,292,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002347.pdf,"The Third decade of twentieth century was a very significant period in the Sikh history. It was a decade of agitational movements for the Sikhs which resulted in the liberation of historical Sikh shrines from the illegal occupation of British government supported udassi Mahants and passing of a legislation for the Sikh control of Gurdwaras. These reports described the initial drafts of Gurdwara legislation which were debated upon and improved subsequently. Three reports also described the Akali movement launched for the liberation of Gurdwara 'Guru ka Bagh' at village Ghukewali in District Amritsar and sacrifices of Sikh volunteers. Another report deals with the handing over of the keys and administrative control of Sri Darbar Singh by the British Deputy Commissioner to the Sikhs. The khilafat movement started under the leadership of Mahatma Gandhi for the restoration of Muslim Caliph in Turkey in also described in one of the reports. All these reports taken together describe the political and religious sentiments and mood of the Sikh and Muslims and Indians, in general, during the 1920s","Gurdwara legislation,  Sir John Maynard,  Guru ka Bagh,  S. Dasundha Singh,  Diwan Bahadur Raja Narendra Nath,  Sayed Muhammad Hussain,  Shiromani Gurdwara Prabhandhk Committee,  Khilafat movement,  Multan Riots,  Resolution regarding Guru ka Bagh,  Release of prisoners,  Giani Sher Singh",BK-000706,,,Good,,English,1923,Roman,"Kirpal Singh, Dr.",
2348,Muslims Member Report 3,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2348&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000708_200.jpg,185,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002348.pdf,"Partition of India in 1947 led to the division of the states of Punjab and Bengal and mass transfer of migration; several committees submitted their views regarding the partition of Punjab prior to 1947 on the basis of which the Punjab province was divided into West and East Punjab and merged with the newly created Pakistan and India. This volume contains reports on the proposed division of Punjab by the two Muslim dignitaries. Both the reports advocate the division of Punjab on communal lines and recommend the Muslim dominated western districts to be formed as west Punjab and a state of Pakistan and Eastern districts as parts of East Punjab and a state of India. Both the reports are leased on religious difference between Hindus/Sikhs and the Muslims ad principle of contiguity the reports convey the feelings of the Muslim community which favoured a separate country of Pakistan. The arguments given in both the reports reflect the views of the Indian Muslim league, the political party representing the majority of the Muslims","Indian Muslim league,  Indian National Congress,  Constituent Assembly,  Mr. Jainak,  Boundary Commission,  Lahore,  Gujaranwala,  Sheikhupara,  Gurdaspur,  Sialkot,  SGPC,  Seventeen districts,  twelve districts,  Ambala Hissar,  Kangra,  Lord Wovell,  Headworks",BK-000708,,,Good,,English,,Roman,"Kirpal Singh, Dr.",
2349,Love is Stronger Than Hate,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2349&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000800_200.jpg,128,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002349.pdf,"Little deeps of compassion, selfless love, service of the needy and destitute leave a great impact not only on the unfortunate victims but also on the surrounding environment. This book contains narration of such selfless service of humanity by a professional medical expert of pulmonary tuberculosis posted at Dharampur (Himachal Pradesh) at the time of India's partition in 1947. His acts of medical assistance, distribution of food in refugee camps and cooling of communal passion are recorded. The various letters of Thanks written by the beneficiaries from Pakistan and other parts of India hear a testimony to his selfless service. It would have been better if an English translation of letters written in Urdu had been given alongside","Syed Ashfaq,  Dr. F. Master,  A.S. Sadary,  Mohd. Anwar,  Mehar Singh,  Muhammad Taiyyib,  Dharampore,  Bahrain,  Gujrat,  Lahore,  Rawalpindi,  Dar-ul-ulum Deoband,  Karachi",BK-000800,"Guru Nanak Mission, Patiala.",,Good,"Khushdeva Singh, Dr.",English,1947,Roman,"Kirpal Singh, Dr.",
2350,Rabh Kidah Nahi Milda,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2350&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000709_200.jpg,116,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002350.pdf,,"Rabh Kidah nahi Milda,  Joginder Singh Sethi,  Gita,  Ramayan,  Ved,  Haridwar,  Macca Madina",BK-000487,,,Good,,English,1947,Roman,"Kirpal Singh, Dr.",
2351,Dasam Granth,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2351&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000751_200.jpg,1338,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002351.pdf,"The composition 'Dasam Granth' has a lot of controversy about its authorship. While one school of Sikh scholars believes the entire composition to be a creation of Guru Gobind Singh, the other school believes that the majority of the text is interpolation by vested interests. The title of this book makes it more controversial as it calls it 'Dasam Patshahi ka Guru Granth Sahib'. It contains the entire text of the so-called Dasam Granth under several titles. It is difficult to arrive at a definite decision about the authenticity of its texts. It contains topics and the type of language which are not even related to either Guru Gobind Singh or Sikh religion. Nothing is definite about the date and authorship of its text. Its title is a misnomer because Guru Granth Sahib is the most authentic sacred scripture of the Sikhs compiled by Guru Arjan Dev","Bachitar Natak,  Jaap Chakkar chin,  Varsri Bhaguti ji ki,  Gyan Parbodh,  Chaubis Avtar,  Malmati,  Anuragmati,  Jogsain Raja",BK-000751,Anglo Sanskrit Press Lahore,,Good,,Panjabi,1895,Gurmukhi,"G.S. Lamba, Jalandhar",Anonymous - ਹਮ ਰੁਲਤੇ ਫਿਰਤੇ ਕੋਈ ਬਾਤ ਨ ਪੂਛਤਾ
2352,Govt. of India Ministry of Relief and Rehabilitation,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2352&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000710_200.jpg,150,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002352.pdf,"India's partition in 1947 resulted in breaking out of communal riots, acts of loot, plunder, abduction and molestation of women on both sides of the border. The communal and religious hatred between the Muslims and Hindus/Sikhs was at its worst. There was a complete breakdown of law and order. Violence and bloodshed occurred on both sides. This volume contains official records of loss of life and property and atrocities committed on the migrating sections of population in the various parts of northwest frontier province and other Muslim dominated districts falling in the newly created Pakistan state. Obviously, the majority of the victims were migrating Non-Muslims. These records are an authentic reference material for readers and researchers of history","Atrocities,  Hazara,  Jhelum,  Multan,  Rawalpindi,  Jhang Maghiana,  Sialkot,  Refugee train,  Pind Dadan Khan,  Montgomery,  Bahawalpur,  Layalur,  Jaranwala,  Toba Tek Singh,  Gujrawala,  Abbotabad,  Balakot,  Mahashe Shivram,  Lakhmi Chand,  Muslim Leaguers",BK-000710,,,Good,,English,1948,Roman,"Kirpal Singh, Dr.",
2353,Extract Taken From Punjab Legislative Council Debates Vol 2 1921,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2353&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000711_200.jpg,95,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002353.pdf,"These extracts contains minutes of legislative proceedings of the Punjab legislative Assembly for the year 1921. It covers topics such as deployment of punitive police in Hafizabad district to crush lawlessness, plight of Akali prisoners facing trail in Nankana Sahib case, bill regarding Sikh shrines, release of Akali prisoners of Guru ka Bagh movement, constitution and recommendations of Girdwood committee, Nabha and Jaito Sikh Movements, and police atrocities on Akali volunteers. Since the third decade was very important period in Sikh and Punjab history, these records throw a flood of light on the major events of that period. These records constitute authentic information about politico-religious movements of Sikh history","Chaudhri Atta Ullah Khan,  Sir John Maynard,  Punitive Police,  Sikh Prisoners,  trail of Nankana Sahib case,  Akalis,  Sikh Gurdwara and Shines Bill,  Kartar Singh,  Release of Akali prisoners,  Darbar Sahib Amritsar,  Guru ka Bagh,  Sangat Singh,  Tara Singh,  Lala Ruchi Ram Sahni,  H. D. Craik,  Nabha,  Jaito,  Dr. Kitohlew,  Bhai Pheru",BK-000711,,,Good,,English,1921,Roman,"Kirpal Singh, Dr.",
2355,The Constitution And Bylaws,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2355&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000752_200.jpg,44,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002355.pdf,"Like many historical shrines, the sacred shrine of Sri Takhat Patna Sahib is governed by certain constitutional by laws. The present tract is a manual of these by laws governing body and day to day administration functions are governed by this constitution. It defines the eligibility for the governing body members, its tenure, electoral process, powers and duties of office hearers etc. It helps in the smooth functioning of this shrine","Management Control,  Name of Committee,  Electoral Roll,  membership,  Internal auditors,  Stock Register,  Sacred Articles,  Gurpurbs,  Gurdwara Money,  Employees",BK-000752,"Prabandhak Committee Sri Takht Harimanderji, Patna Sahib",,Good,,English,1998,Roman,"G.S. Lamba, Jalandhar",
2357,Report on the Rawalpindi Riots,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2357&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000712_200.jpg,25,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002357.pdf,"Despite the apparent harmony between the Sikhs and the Muslims during the 1920s, there have been occasional sporadic communal riots between the two communities in the western part of Punjab. This report prepared by Sardar Mehtab Singh describes the loss of life and property of the Sikhs in the city of Rawalpindi in June, 1926 following a communal rest. The large scale arson and loot was incited by some hot headed Muslim youth and Muslim clerics who objected to the existence of a cinema hall and few shops in the vicinity of Muslim Mosque. Although the Mosque and cinema area were separator by high rising wall and the Muslim had failed to get the cinema hall demolished through a legal battle, they wished to demolish the cinema structure. When the courts and Municipal authorities refused the Muslim demand, the Muslims took the law in their own hands and burnt Sikh/Hindu shops and houses on a large scale. This report contains all the details of these cases of loot and arson. The report indicts the government authorities for their failure to curb the communal riot. It is a reflection of deep-rooted hatred between the two communities which led to country's partition in 1947","SGPC,  Rawalpindi,  S.B. Mehtab Singh,  Nankana Sahib,  Lahore,  Raja Narendra Nath,  Dr. Gokal Chand Narang,  Bhagat Jaswant Singh,  Cinema Hall,  the Mullahs,  Dr. Kitchlew,  Singh Sabha,  Jamma Masjid,  Mr. Ferguson,  Sardar Bahadur Malik Mohan Singh",BK-000712,"SGPC, Sri Amritsar jio",,Good,,English,1926,Roman,"Kirpal Singh, Dr.",
2358,The Indian Quaterly Register 1924,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2358&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000713_200.jpg,101,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002358.pdf,"The Bill for the control and management of Sikh Gurdwaras by an elected body of the Sikhs was passed in 1925. After this the representative Sikh body known as Shiromani Gurdwara Parbhandhak Committee came into being. But before the passage of the Gurdwara Act and constitution of SGPC, the Sikhs had to wage a long drawn battle and make innumerable sacrifices for almost two decades to get their sacred shrines liberated from the illegal possession of British supported Mahants. This collection contains the extracts from the proceedings of the Punjab legislative council as well as authentic contemporary literature published on the several stages of the Gurdwara Bill as well as the Sikh/Akali Movement launched for the liberation of Sikh shrines. These articles taken from contemporary journal (1924) summarize the whole history of the Gurdwara movement. These essays provide valid information about this slice of Sikh history to the researchers of Sikh history","Sardar Jogindra Singh,  The Sikh Onestion,  Mahants,  Gurdwara Bill,  Akali Jathas,  Babbar Akalis,  SGPC,  Sikh Sudhar Committee,  Akali leaders Trial,  Gurdwara Bill,  Sikh Gurdwara Act,  Legislative Council,  Sir William Birdwood,  Jodh Singh,  Narain Singh,  Jhanda Singh Vahil,  Tara Singh,  Mangal Singh,  Lahore Fort",BK-000713,,,Good,,English,1924,Roman,"Kirpal Singh, Dr.",
2361,Punjab and Mughal India,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2361&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000757_200.jpg,845,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002361.pdf,"Punjab, being the gateway to India, holds a place of prominence in Indian history and civilization. Its history is, perhaps, the richest among the Indian states. The present volume contains several articles and papers about the history, Archaeology, Culture, Folklore, social and cultural life of Punjab under it several rulers especially the Mughal rules. These papers were written and read over at the conferences of Punjab Historical Society by the European, and Indian historians. The volume is a veritable golden mine of Punjab's rich history and culture. It chronicles the history of Punjab from its ancient times to the end of Mughal period","Lahore Fort,  Fatehpur Sikri,  Agra,  Badshahi Masjid,  Shah Jahan,  Jahangir,  Ranjit Singh,  Braj E.W. Smith,  Atchison College,  Shakarganj,  Sufism,  Cunningham,  Hadith,  Gorakh Nath,  Dabistan",BK-000757,"Sang-e-Meel, Lahore",969-35-1297-9,Good,,English,2002,Roman,"G.S. Lamba, Jalandhar",
2362,Out of the Ashes,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2362&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000758_200.jpg,294,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002362.pdf,"Large scale migration of population, generally, either follows a natural calamity or war. But the migration of people from West to East and East to West Punjab took place following India's partition in 1947. Around forty lac Hindu and Sikh peasants and traders migrated from Pakistan to India in Punjab. It was a gigantic task to resettle and rehabilitate this displaced population. The author, being at the helm of affairs in this task, narrates the process of accommodating such a large population on temporary, quasi-temporary and finally permanent basis on the evacuee land, and urban property. The author's account is comprehensive, well-documented and illustrated with photographs. The whole account reflects the author's own integrity, devotion and commitment to this humanitarian cause. The book is a chronicle of the pain, suffering, and grit of Punjab peasants who passed through this ordeal","Partition,  East Punjab,  Rural resettlement,  rehabitation,  Sir Chandu Lal Trivedi,  Malcolm Darling,  H. Calvort,  Tarlok Singh,  S. Partap Singh Kairon,  Ajit Parshad Jain,  P.N. Thapar,  Evacuee land,  Garden colonies,  Rural Housing Scheme,  Farming,  Gurdaspur,  Lahore,  Ferozepur,  Sheikhupura",BK-000758,,,Good,M.S Randhawa,English,1954,Roman,"Kirpal Singh, Dr.",
2363,Lady Login's Recollections,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2363&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000900_200.jpg,380,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002363.pdf,"These recollections written in a sort of memoir describe the experiences and impressions of lady, the wife of Dr. Login, custodian-cum-caretaker of Maharaja Duleep Singh after his exile from India to England. Besides her vivid recollections about her grooming of the exiled Sikh Prince, his baptism into Christianity, his marriage and his offspring's, his sorrows, his last days and death, the volume contains her impressions about the two British governors generals of Punjab, the Lawrence brothers and Maharani Jind Kaur. She also recollects her memories of some important events like Indian Mutiny of 1857, and British takeover of Diamond Kohinoor. The account appears to be accurate, vivid and bearing a stamp of sympathy and goodwill","Camp life,  Jewana,  Mahraja Ranjit Singh,  Raja Dhyan Singh,  Lord Dalhausie,  Oude",BK-000900,Bhasha Vibhag Punjab,,Good,E Dal Housie Login,English,,Roman,Nanakshahi,
2364,The Sikhs Demand Thier Homeland,Books,http://panjabdigilib.org/webuser/searches/displayPage.jsp?ID=2364&page=1&CategoryID=1&Searched=,http://panjabdigilib.org/pdl/Thumbnails/Squared/BK-000851_200.jpg,100,https://snappdl.s3.ca-central-1.amazonaws.com/pdfs/0002364.pdf,"Transfer of political power from one sovereign authority to another is rarely smooth and fair to all the citizens of a liberated country. So was it during the independence of India from the British colonial rule in 1947. While the two majority communities the Hindus and the Muslims got their cherished independence in the form of India and Pakistan, The Sikhs were not given a fair deal. The Author of this book makes a strong case and a fervent appeal for the creation of an independent sovereign state for the Sikhs at par with the Hindus and the Muslims. He bases his demand for an independent Sikh state on the basis of distinct religion and identity of the Sikhs as well as distinct religion and identity of the Sikhs as well as their massive contribution in terms of Sikh sacrifices made for India's independence . The book reflects the aspirations of the Sikhs in the wake of impending India's independence and partition. It also reflects the legitimate right of the Sikhs for a sovereign state. He calls the denial of this demand as a new era of slavery for the Sikhs","League of Nations,  President Wilson,  Mr. Churchill,  Mahatma Gandhi,  Jawahar Lal Nehru,  Ashoka,  Indian National Congress,  Muslims,  Hindus,  Sikhs,  Gokhale,  Tilak,  Hindu Mahasabha,  Teja Singh,  Master Tara Singh,  Qaid-i-Azam Jinnah,  Harman Singh",BK-000851,Lahore Book Shop,,Good,Sadhu Swaroop Singh,English,1946,Roman,"Kirpal Singh, Dr.",
